id,categorie,nom_commercial,nom_variantes,dci,dosage,forme,laboratoire,nom_ar,nom_clean,prix,pharmacien_id,61266250,"a 313 200 000 ui pour cent, pommade",pommade,cutanée,autorisation active,procédure nationale,commercialisée,12/03/1998,unnamed: 8,unnamed: 9,pharma developpement,non,product_en_url,product_ar_url,product_thumbnail,nahdi_promo_en,nahdi_promo_ar,brand_name_en,brand_name_ar,product_name_en,product_name_ar,review_count,price_after_special,price_before_special,is_global_product_certain,is_nahdi_product
38.0,Autres,Carbocistéine,Carbocisteine|Carbocistéine|Carbocisteine 2%,Carbocistéine,2%,Sirop,Maphar,كاربوسيستيين,CARBOCISTÉINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,URO / EAU POUR IRRIGATION,URO / EAU POUR IRRIGATION,EAU POUR PREPARATION INJECTABLE,3000ML,SOLUTION POUR IRRIGATION,,,URO / EAU POUR IRRIGATION,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,ELOXATINE 5 MG/ML,ELOXATINE 5 MG/ML,OXALIPLATINE,200MG,SOLUTION A DILUER POUR PERFUSION,,,ELOXATINE 5 MG/ML,2206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,VIVALAN,VIVALAN,VILOXAZINE,100MG,COMPRIME PELLICULE,,,VIVALAN,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,ZADRYL,ZADRYL,CETIRIZINE,1MG,SOLUTION BUVABLE,,,ZADRYL,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,MYNAZOL,MYNAZOL,FLUCONAZOLE,50MG,GELULE,,,MYNAZOL,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,ALFACEFAL 125 MG/5 ML,ALFACEFAL 125 MG/5 ML,CEFACLOR,1.5G,POUDRE POUR SUSPENSION BUVABLE,,,ALFACEFAL 125 MG/5 ML,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,NOCAND 50 MG,NOCAND 50 MG,FLUCONAZOLE,50MG,GELULE,,,NOCAND 50 MG,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,MEDIATOR,MEDIATOR,BENFLUOREX,150MG,COMPRIME ENROBE,,,MEDIATOR,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,GASTROLIBER,GASTROLIBER,LANSOPRAZOLE,30MG,GELULE GASTRO-RESISTANTE,,,GASTROLIBER,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,CLOFENE,CLOFENE,DICLOFENAC,25MG,COMPRIME ENROBE GASTRO-RESISTANT,,,CLOFENE,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,ZELDOX,ZELDOX,ZIPRASIDONE,40MG,GELULE,,,ZELDOX,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
